Typee,Pretty Typee,Individual,Tree Size,Tree Depth,Diversity,Semantic Diversity
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(if ((if (! (! True)) then (\fresh_336:(fresh_335:Integer -> (Integer)) -> False) else (if (if True then (if False then False else False) else True) then (\fresh_336:(fresh_335:Integer -> (Integer)) -> True) else (if False then (\fresh_336:(fresh_335:Integer -> (Integer)) -> True) else (\fresh_336:(fresh_335:Integer -> (Integer)) -> False)))) (if False then (if True then (if True then (if False then (\fresh_335:Integer -> 906) else (\fresh_335:Integer -> fresh_335)) else (\fresh_335:Integer -> fresh_335)) else (\fresh_335:Integer -> fresh_335)) else ((\fresh_351:Double -> (-Int -470)) -496.7303341885501))) then 1 else 1),50,8,5036.903,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,((\fresh_361:Integer -> 1) 133),4,3,2141.346,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,((if True then (if ((\fresh_363:Boolean -> (if False then (if False then fresh_363 else False) else False)) ((\fresh_364:Boolean -> fresh_364) True)) then (if False then (\fresh_362:Boolean -> 1) else (if True then (\fresh_362:Boolean -> (if fresh_362 then 1 else 1)) else (if (if True then False else True) then (\fresh_362:Boolean -> 1) else (\fresh_362:Boolean -> 1)))) else (\fresh_362:Boolean -> 1)) else ((\fresh_367:Boolean -> (\fresh_362:Boolean -> ((\fresh_379:Boolean -> 1) fresh_367))) (! (! True)))) False),52,8,5119.705,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(((if (! False) then (if False then (\fresh_381:String -> (/Int -177)) else (\fresh_381:String -> (if (if False then True else True) then (\fresh_380:Integer -> 1) else (\fresh_380:Integer -> 1)))) else (\fresh_381:String -> (\fresh_380:Integer -> fresh_380))) (if ((>=Int (if True then 610 else -191)) -335) then "cjcHNXCbfZKCSlrKuFLNHeocmvSPXgDUrQOSvopJyuZLwXkTvPRSxEJhhsAtRzDKSOIXjckisQesPSzFnmdVLkiLjRHCfqeeSpPDDPtFoTusJioKLByMKYTVkmRLDpRYqSpsDnjBjVkkbEXIBfKwOzIuWfOvHjpJJRvOxKYRmxXTueYGvGp" else "UliyKYnTgyPRSTOeXpeLgMYOrVodKogwQmEJXiTqnHznUdeBjNknycpFKjJIsDWrgLfrwUbGSfbIiFeuCmsXDo")) -146),37,8,4059.392,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(if (if ((if True then (if (if True then True else True) then (\fresh_423:Integer -> True) else (\fresh_423:Integer -> (if True then False else True))) else (\fresh_423:Integer -> ((if False then ! else !) True))) -65) then True else (if ((\fresh_430:Integer -> False) 61) then True else ((if False then ! else !) ((\fresh_433:Integer -> True) (if True then 7 else 187))))) then ((if False then ((\fresh_440:Boolean -> (\fresh_434:Integer -> 1)) True) else (\fresh_434:Integer -> 1)) ((if True then ((\fresh_439:Integer -> (\fresh_435:Top -> fresh_439)) 667) else (\fresh_435:Top -> -4)) "QkvrmMMgWQuHfdTrHdfKJLzvnBnZcAMbOCCGiVeTLAqexqIjMASX")) else ((if (! False) then (\fresh_448:Top -> 1) else (if False then (\fresh_448:Top -> (if (if False then False else True) then (if False then 1 else 1) else 1)) else (\fresh_448:Top -> 1))) (if (! False) then -255 else 303.26302830957786))),93,8,8616.394,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(if (if ((\fresh_473:Boolean -> ((if False then (\fresh_474:Double -> False) else (\fresh_474:Double -> True)) -187.9332124457492)) False) then True else True) then (if (if True then (if True then False else False) else (if (if False then False else False) then (! False) else (if ((if False then ! else !) True) then ((\fresh_479:Integer -> True) -300) else True))) then 1 else (((\fresh_484:Integer -> (\fresh_480:Boolean -> 1)) (if True then 336 else 83)) (if False then True else (if False then True else True)))) else 1),60,8,5805.322,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,((if (if (if False then False else False) then False else ((\fresh_495:Top -> False) -145.90023401229644)) then (\fresh_485:Boolean -> 1) else (\fresh_485:Boolean -> (if fresh_485 then 1 else (if fresh_485 then ((*Int -93) -469) else 1)))) (if (if False then True else True) then (! True) else (if False then False else ((if False then (\fresh_487:Double -> False) else (\fresh_487:Double -> False)) ((\fresh_488:Double -> -89.08453428238548) (if False then 784.203520430994 else -73.8580108324472)))))),51,8,5140.885,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(if False then 1 else 1),4,2,2119.541,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(if ((\fresh_499:Integer -> (if True then False else (if True then False else True))) -297) then ((if True then (if (if (if False then False else False) then False else True) then (if True then (\fresh_500:Integer -> 1) else (\fresh_500:Integer -> fresh_500)) else (\fresh_500:Integer -> ((\fresh_524:Object -> 1) (! False)))) else (if (if False then False else True) then (if False then (\fresh_500:Integer -> fresh_500) else (\fresh_500:Integer -> fresh_500)) else (\fresh_500:Integer -> fresh_500))) ((if True then (\fresh_501:Integer -> 652) else (\fresh_501:Integer -> fresh_501)) ((\fresh_502:Boolean -> (if (if False then False else fresh_502) then 819 else -248)) (if False then False else False)))) else ((\fresh_526:Boolean -> ((\fresh_529:Integer -> ((\fresh_534:Integer -> 1) (if fresh_526 then 854 else fresh_529))) -193)) (! (if (if (if False then True else False) then (if True then False else False) else (if True then False else True)) then False else (! True))))),100,8,9339.05,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,((\fresh_535:Integer -> (if ((\fresh_546:Object -> True) False) then 1 else ((\fresh_551:Integer -> 1) fresh_535))) ((if (if False then True else True) then (if False then (if True then (\fresh_536:Boolean -> 363) else (\fresh_536:Boolean -> -77)) else (\fresh_536:Boolean -> 36)) else (\fresh_536:Boolean -> (if False then 40 else 398))) ((if False then ! else (if (! (if True then False else False)) then ! else !)) False))),47,8,4745.499,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,((if ((if True then (\fresh_559:Integer -> True) else (if False then (\fresh_559:Integer -> True) else (<=Int 35))) 243) then ((\fresh_561:Boolean -> (\fresh_558:Double -> 1)) (if True then (if (if (if True then False else False) then False else False) then False else False) else (if False then True else False))) else ((\fresh_586:Integer -> ((\fresh_588:Double -> (\fresh_558:Double -> 1)) 393.4597717334612)) -1016)) 679.3159685741149),44,8,4550.044,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,((if (if ((\fresh_592:Object -> True) "NzQRcoHJSnKbKuNtjzQMJXwDoPzQjalhcRVcMfAqkokeUVHHoqiKBaqUHCBmMwyPRVAAfaCNfxXqOHYZuVRZzEUlxWMxcnLqYeNSGiUi") then (if False then False else (if (if False then True else True) then False else False)) else False) then (\fresh_589:Integer -> (if True then 1 else 1)) else (if (if (if True then False else True) then False else True) then (\fresh_589:Integer -> ((\fresh_597:Integer -> 1) fresh_589)) else (if (if False then True else (if False then True else True)) then (\fresh_589:Integer -> 1) else (\fresh_589:Integer -> 1)))) (if ((if True then (\fresh_590:Integer -> False) else (if (if True then True else True) then (>Int -159) else (\fresh_590:Integer -> False))) (if True then -141 else (if True then -1 else -22))) then -201 else -417)),73,7,6817.153,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,((if False then (if (if True then True else False) then (-Int -426) else (if True then (\fresh_660:Integer -> 1) else (if False then (\fresh_660:Integer -> 1) else (\fresh_660:Integer -> 1)))) else ((\fresh_697:Boolean -> (\fresh_660:Integer -> 1)) False)) (if (if True then False else True) then -45 else (if ((\fresh_661:Integer -> False) 337) then 64 else -262))),39,7,4071.491,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
